NAME,total_households,no_vehicle_households,state_fips,county_fips,tract_fips,GEOID,pct_no_vehicle
Census Tract 309; Bronx County; New York,1353,402,36,005,030900,36005030900,0.29711751662971175
Census Tract 310; Bronx County; New York,1289,41,36,005,031000,36005031000,0.03180760279286268
Census Tract 312; Bronx County; New York,586,92,36,005,031200,36005031200,0.15699658703071673
Census Tract 314; Bronx County; New York,617,124,36,005,031400,36005031400,0.20097244732576985
Census Tract 316; Bronx County; New York,709,224,36,005,031600,36005031600,0.3159379407616361
Census Tract 318; Bronx County; New York,557,20,36,005,031800,36005031800,0.03590664272890485
Census Tract 319; Bronx County; New York,0,0,36,005,031900,36005031900,
Census Tract 323; Bronx County; New York,2656,1188,36,005,032300,36005032300,0.44728915662650603
Census Tract 324; Bronx County; New York,1255,744,36,005,032400,36005032400,0.5928286852589641
Census Tract 326; Bronx County; New York,1040,228,36,005,032600,36005032600,0.21923076923076923
Census Tract 328; Bronx County; New York,1446,872,36,005,032800,36005032800,0.603042876901798
Census Tract 330; Bronx County; New York,2176,1264,36,005,033000,36005033000,0.5808823529411765
Census Tract 332.01; Bronx County; New York,2395,1587,36,005,033201,36005033201,0.6626304801670146
Census Tract 332.02; Bronx County; New York,1635,1017,36,005,033202,36005033202,0.6220183486238532
Census Tract 334; Bronx County; New York,6,6,36,005,033400,36005033400,1.0
Census Tract 335; Bronx County; New York,727,203,36,005,033500,36005033500,0.2792297111416781
Census Tract 336.01; Bronx County; New York,2154,1639,36,005,033601,36005033601,0.7609099350046425
Census Tract 336.02; Bronx County; New York,570,200,36,005,033602,36005033602,0.3508771929824561
Census Tract 337; Bronx County; New York,941,164,36,005,033700,36005033700,0.1742826780021254
Census Tract 338.01; Bronx County; New York,942,322,36,005,033801,36005033801,0.34182590233545646
Census Tract 338.02; Bronx County; New York,577,362,36,005,033802,36005033802,0.6273830155979203
Census Tract 340; Bronx County; New York,1843,845,36,005,034000,36005034000,0.4584915897992404
Census Tract 342; Bronx County; New York,637,187,36,005,034200,36005034200,0.29356357927786497
Census Tract 343; Bronx County; New York,595,79,36,005,034300,36005034300,0.13277310924369748
Census Tract 344; Bronx County; New York,627,203,36,005,034400,36005034400,0.3237639553429027
Census Tract 345; Bronx County; New York,1484,531,36,005,034500,36005034500,0.3578167115902965
Census Tract 348; Bronx County; New York,2076,1102,36,005,034800,36005034800,0.5308285163776493
Census Tract 350; Bronx County; New York,703,204,36,005,035000,36005035000,0.2901849217638691
Census Tract 351; Bronx County; New York,1338,336,36,005,035100,36005035100,0.25112107623318386
Census Tract 356; Bronx County; New York,658,132,36,005,035600,36005035600,0.2006079027355623
Census Tract 358; Bronx County; New York,2711,906,36,005,035800,36005035800,0.3341940243452601
Census Tract 359; Bronx County; New York,1175,867,36,005,035900,36005035900,0.737872340425532
Census Tract 360; Bronx County; New York,958,273,36,005,036000,36005036000,0.2849686847599165
Census Tract 361; Bronx County; New York,2164,1744,36,005,036100,36005036100,0.8059149722735675
Census Tract 363; Bronx County; New York,2368,1952,36,005,036300,36005036300,0.8243243243243243
